City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,busan,35.1028,129.0403,32.99,55,20,5.66,KR,1726298634
344,phan rang-thap cham,11.5667,108.9833,33.83,50,100,7.37,VN,1726298635
345,krasnoshchekovo,51.6708,82.7289,13.46,56,100,3.3,RU,1726298636
346,saldanha,-33.0117,17.9442,12.03,82,0,3.6,ZA,1726298637
347,dalnegorsk,44.5604,135.5701,8.09,99,100,0.2,RU,1726298639
348,cabo san lucas,22.8909,-109.9124,27.64,91,95,2.24,MX,1726298245
349,gorontalo,0.5412,123.0595,29.8,48,100,3.34,ID,1726298641
350,lensk,60.7253,114.9278,3.73,78,100,0.68,RU,1726298642
351,bubaque,11.2833,-15.8333,26.9,81,93,6.54,GW,1726298643
352,fomboni,-12.28,43.7425,25.82,75,1,6.06,KM,1726298644
353,sao jose da tapera,-9.5583,-37.3811,17.92,98,40,1.72,BR,1726298645
354,van wert,40.8695,-84.5841,16.66,91,100,1.79,US,1726298646
355,al faw,29.9776,48.4741,37.17,24,0,6.87,IQ,1726298647
356,axim,4.8699,-2.2405,24.33,89,100,3.79,GH,1726298649
357,nova xavantina,-14.6667,-52.35,24.9,33,4,0.4,BR,1726298650
358,novyy urgal,51.0736,132.5642,16.17,35,100,3.09,RU,1726298651
359,kyshtym,55.714,60.5528,19.32,60,60,2.03,RU,1726298652
360,lexington,37.9887,-84.4777,20.59,78,18,0.89,US,1726298458
361,coihueco,-36.6167,-71.8333,5.32,76,0,1.63,CL,1726298654
362,opuwo,-18.0607,13.84,25.16,16,9,1.95,NA,1726298655
363,haiku-pauwela,20.9219,-156.3051,25.67,74,0,7.2,US,1726298656
